Name,Latitude,Longitude,pop_buffer_hybrid,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,full_population_2010_Census_BIG_method,distance_to_nearest_line_km,Desa,population_buffer_corrected,SettlementTargetElectrificationRate_2010Census,pop_outside_1kmBuffer,pop
820304100306,-1.778512,125.510177,24,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,24,12.16533601,8203041003,24,1,24,24
820304100401,-1.828103,125.681346,221,4.04,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,221,23.20248753,8203041004,221,1,221,221
820304100402,-1.821017,125.732701,276,4.04,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,276,18.46117439,8203041004,276,1,276,276
820304100501,-1.806527,125.526011,464,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,464,14.25018861,8203041005,464,1,464,464
820304100601,-1.822223,125.608997,476,4.58,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,476,23.64249163,8203041006,476,1,476,476
820304100799,-1.84303311821017,125.578724718151,358,3.62,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,358,21.00940283,8203041007,358,1,358,358
820304200199,-1.89509999084457,125.494369203004,909,5.08,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,909,15.71468617,8203042001,909,1,909,909
820304200201,-1.928746,125.582451,1326,4.84,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1326,25.92483674,8203042002,1326,1,1326,1326
820304200202,-1.928059,125.58182,30,4.84,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,30,25.82569713,8203042002,30,1,30,30
820304200401,-1.930689,125.664321,107,4.92,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,107,23.43520418,8203042004,107,1,107,107
820304200402,-1.930765,125.66296,329,4.92,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,329,23.58668869,8203042004,329,1,329,329
820304200403,-1.930482,125.660418,481,4.92,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,481,23.86491091,8203042004,481,1,481,481
820304200404,-1.930152,125.664861,38,4.92,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,38,23.36943072,8203042004,38,1,38,38
820304200501,-1.929038,125.705704,53,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,53,18.83884813,8203042005,53,1,53,53
820304200502,-1.929002,125.706702,186,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,186,18.72812054,8203042005,186,1,186,186
820304200503,-1.928915,125.704492,161,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,161,18.97117744,8203042005,161,1,161,161
820304200504,-1.928673,125.712029,95,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,95,18.13535048,8203042005,95,1,95,95
820304200505,-1.928774,125.704843,183,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,183,18.93058533,8203042005,183,1,183,183
820304200601,-1.929874,125.678848,767,5.15,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,767,21.81839464,8203042006,767,1,767,767
820305000601,-1.734613,125.197811,927,4.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,927,19.09098983,8203050006,927,1,927,927
820305000701,-1.700103,125.108218,870,5.3,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,870,29.66241041,8203050007,870,1,870,870
820305000801,-1.791008,125.284628,1078,4.04,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1078,7.617677053,8203050008,1078,1,1078,1078
820305000901,-1.788824,125.073945,80,3.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,80,30.42582152,8203050009,80,1,80,80
820305000902,-1.761648,125.099186,166,3.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,166,28.20789619,8203050009,166,1,166,166
820305000903,-1.761269,125.095929,421,3.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,421,28.56977199,8203050009,421,1,421,421
820305100101,-1.925645,124.895744,588,4.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,588,51.28372143,8203051001,588,1,588,588
820305100201,-1.926499,124.945261,910,4.08,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,910,45.95004372,8203051002,910,1,910,910
820305100301,-1.930727,124.989058,991,5.39,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,991,41.37962389,8203051003,991,1,991,991
820305100401,-1.911728,125.016,525,5.66,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,525,37.92338338,8203051004,525,1,525,525
820305100402,-1.876174,125.033305,448,5.66,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,448,35.20461336,8203051004,448,1,448,448
820305100501,-1.871689,125.156954,528,4.71,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,528,21.63268473,8203051005,528,1,528,528
820305100601,-1.885638,125.081022,276,4.6,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,276,30.20469255,8203051006,276,1,276,276
820305100701,-1.874405,125.136235,265,4.65,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,265,23.94178195,8203051007,265,1,265,265
820305100801,-1.870348,125.230109,179,4.37,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,179,13.83979653,8203051008,179,1,179,179
820305100901,-1.887931,125.290572,207,5.05,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,207,9.40365759,8203051009,207,1,207,207
820305101099,-1.85437549633393,125.211372513883,149,4.52,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,149,15.29701545,8203051010,149,1,149,149
820306000101,-1.946166,124.384134,1170,4.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1800,0.428896372,8203060001,1160,0.64,0,0
820306000102,-1.9424,124.381264,12,4.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,18,0.52718417,8203060001,18,1,0,0
820306000103,-1.941763,124.38028,6,4.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,9,0.561450576,8203060001,9,1,0,0
820306000401,-2.009094,124.54392,1368,4.23,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1368,19.035095,8203060004,1368,1,1368,1368
820306000402,-1.951105,124.562219,76,4.23,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,76,19.62821163,8203060004,76,1,76,76
820306001601,-2.028819,124.39746,180,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,180,9.585209034,8203060016,180,1,180,180
820306001602,-2.002381,124.398429,382,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,382,6.725375965,8203060016,382,1,382,382
820306001801,-1.790492,124.315619,1669,4.6,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1669,4.175294273,8203060018,1669,1,1669,1669
820306002101,-1.899325,124.342524,209,3.95,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1138,0.13767062,8203060021,209,0.18,0,0
820306002201,-1.905909,124.344006,60,3.93,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,275,0.163491396,8203060022,60,0.22,0,0
820306002301,-2.04431,124.404498,676,3.6,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,676,11.39744586,8203060023,676,1,676,676
820306002401,-2.019805,124.478153,64,4.35,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,64,13.32158802,8203060024,64,1,64,64
820306002402,-1.951473,124.467342,146,4.35,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,146,9.10193736,8203060024,146,1,146,146
820306002403,-1.963745,124.508609,37,4.35,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,37,13.83738195,8203060024,37,1,37,37
